Posição;Municipio;Populacao;"Equivalência em relação à
população do estado";Variação bruta;Variação percentual
1;Salvador;2886698;19,41%;14 351;Aumento 0,50%
2;Feira De Santana;619609;4,17%;4 737;Aumento 0,77%
3;Vitória Da Conquista;341128;2,29%;?469;Baixa ?0,14%
4;Camaçari;304302;2,05%;5 170;Aumento 1,73%
5;Juazeiro;218162;1,47%;1 455;Aumento 0,67%
6;Itabuna;213685;1,44%;462;Aumento 0,22%
7;Lauro De Freitas;201635;1,36%;3 195;Aumento 1,61%
8;Teixeira De Freitas;162438;1,09%;1 951;Aumento 1,22%
9;Ilhéus;159923;1,08%;?2 404;Baixa ?1,48%
10;Barreiras;156975;1,06%;1 536;Aumento 0,99%
11;Jequié;156126;1,05%;160;Aumento 0,10%
12;Alagoinhas;152327;1,02%;731;Aumento 0,48%
13;Porto Seguro;150658;1,01%;1 972;Aumento 1,33%
14;Simões Filho;135783;0,91%;1 406;Aumento 1,05%
15;Paulo Afonso;118516;0,80%;734;Aumento 0,62%
16;Eunápolis;114396;0,77%;1 016;Aumento 0,90%
17;Santo Antônio De Jesus;102380;0,69%;868;Aumento 0,86%
18;Valença;97233;0,65%;671;Aumento 0,69%
19;Luís Eduardo Magalhães;90162;0,61%;2 643;Aumento 3,02%
20;Candeias;87458;0,59%;382;Aumento 0,44%
21;Guanambi;84928;0,57%;447;Aumento 0,53%
22;Dias D'Ávila;82432;0,55%;1 343;Aumento 1,66%
23;Serrinha;81286;0,55%;425;Aumento 0,53%
24;Jacobina;80635;0,54%;117;Aumento 0,15%
25;Senhor Do Bonfim;79424;0,53%;409;Aumento 0,52%
26;Itapetinga;76795;0,52%;648;Aumento 0,85%
27;Irecê;73524;0,49%;557;Aumento 0,76%
28;Casa Nova;72545;0,49%;576;Aumento 0,80%
29;Campo Formoso;71487;0,48%;281;Aumento 0,39%
30;Bom Jesus Da Lapa;69662;0,47%;514;Aumento 0,74%
31;Brumado;67335;0,45%;140;Aumento 0,21%
32;Conceição Do Coité;67013;0,45%;401;Aumento 0,60%
33;Itaberaba;64646;0,43%;157;Aumento 0,24%
34;Itamaraju;64455;0,43%;?31;Baixa ?0,05%
35;Cruz Das Almas;63591;0,43%;352;Aumento 0,56%
36;Euclides Da Cunha;60858;0,41%;273;Aumento 0,45%
37;Santo Amaro;60131;0,40%;62;Aumento 0,10%
38;Ipirá;59435;0,40%;?160;Baixa ?0,27%
39;Catu;54970;0,37%;266;Aumento 0,49%
40;Jaguaquara;54673;0,37%;250;Aumento 0,46%
41;Araci;54648;0,37%;269;Aumento 0,49%
42;Ribeira Do Pombal;53956;0,36%;149;Aumento 0,28%
43;Barra;53910;0,36%;332;Aumento 0,62%
44;Santo Estêvão;53269;0,36%;419;Aumento 0,79%
45;Caetité;51081;0,34%;106;Aumento 0,21%
46;Tucano;50798;0,34%;111;Aumento 0,22%
47;Macaúbas;50161;0,34%;335;Aumento 0,67%
48;Monte Santo;49278;0,33%;?140;Baixa ?0,28%
49;Mata De São João;47126;0,32%;543;Aumento 1,17%
50;Poções;46879;0,32%;8;Aumento 0,02%
51;Xique-Xique;46523;0,31%;40;Aumento 0,09%
52;Livramento De Nossa Senhora;46062;0,31%;330;Aumento 0,72%
53;Ipiaú;45922;0,31%;49;Aumento 0,11%
54;Maragogipe;44793;0,30%;116;Aumento 0,26%
55;São Sebastião Do Passé;44430;0,30%;130;Aumento 0,29%
56;Seabra;44234;0,30%;143;Aumento 0,32%
57;Nova Viçosa;43783;0,29%;407;Aumento 0,94%
58;Vera Cruz;43716;0,29%;493;Aumento 1,14%
59;Mucuri;42251;0,28%;503;Aumento 1,20%
60;Entre Rios;41901;0,28%;121;Aumento 0,29%
61;Remanso;41170;0,28%;162;Aumento 0,40%
62;Sento Sé;40989;0,28%;305;Aumento 0,75%
63;Rio Real;40976;0,28%;244;Aumento 0,60%
64;Jeremoabo;40651;0,27%;188;Aumento 0,46%
